"","D.Item.AOM","D.Item.Root.Comp.Proc_Major_low","D.Item","B.Code","A.Level.Name","Time","D.Type","D.Item.Group","D.Source","D.Process.Mech","D.Process.Chem","D.Process.Bio","D.Process.Therm","D.Process.Dehy","D.Process.Other","D.Amount","D.Unit.Amount","D.Unit.Time","D.Unit.Animals","DC.Is.Dry","D.Ad.lib","D.Day.Start","D.Day.End","D.Notes","row_index","D.ItemxProcess","D.ItemxProcess_original","is_entire_diet","is_group","D.Item.Proc_Major","D.Item.Proc_All","D.Item.Root.Comp.Proc_Major","D.Item.Root.Other.Comp.Proc_All","D.Item.Root.Comp","D.Item.Comp","AOM.Terms","AOM.Scientific.Name","D.Item.Is.Tree"
"11","AOM_001643","cotton seed ground","Uncorticated Cotton Seed","0","CFM (10)","99999","Crop Byproduct","concentrate",NA,"Ground",NA,NA,NA,NA,NA,19,"%","day","individual",NA,NA,NA,NA,NA,12,"Uncorticated Cotton Seed||Grinding","Uncorticated Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"12","AOM_001643","cotton seed ground","Uncorticated Cotton Seed","0","CFM (20)","99999","Crop Byproduct","concentrate",NA,"Ground",NA,NA,NA,NA,NA,19,"%","day","individual",NA,NA,NA,NA,NA,13,"Uncorticated Cotton Seed||Grinding","Uncorticated Cotton Seed||Grinding",FALSE,FALSE,"Ground","Ground","Cotton Seed Ground","Cotton Seed Ground","Cotton Seed","Seed","Crop Byproduct/Oil Plant ByProducts/Cotton/Cotton Seed/Cotton Seed Ground","Gossypium",FALSE
"13","AOM_001694","mango seed kernel dried ground","Mango Seed Kernel","0","CFM (5)","99999","Crop Byproduct","concentrate","Purchased","Ground",NA,NA,NA,"Dried",NA,5,"%","day","individual",NA,NA,NA,NA,NA,14,"Mango Seed Kernel||Grinding||Drying","Mango Seed Kernel||Grinding||Drying",FALSE,FALSE,"Dried Ground","Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel","Seed Kernel","Crop Byproduct/Fruit ByProducts/Mango/Mango Seed Kernel/Mango Seed Kernel Dried Ground","Mangifera indica",FALSE
"14","AOM_001694","mango seed kernel dried ground","Mango Seed Kernel","0","CFM (10)","99999","Crop Byproduct","concentrate","Purchased","Ground",NA,NA,NA,"Dried",NA,10,"%","day","individual",NA,NA,NA,NA,NA,15,"Mango Seed Kernel||Grinding||Drying","Mango Seed Kernel||Grinding||Drying",FALSE,FALSE,"Dried Ground","Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel","Seed Kernel","Crop Byproduct/Fruit ByProducts/Mango/Mango Seed Kernel/Mango Seed Kernel Dried Ground","Mangifera indica",FALSE
"15","AOM_001694","mango seed kernel dried ground","Mango Seed Kernel","0","CFM (20)","99999","Crop Byproduct","concentrate","Purchased","Ground",NA,NA,NA,"Dried",NA,20,"%","day","individual",NA,NA,NA,NA,NA,16,"Mango Seed Kernel||Grinding||Drying","Mango Seed Kernel||Grinding||Drying",FALSE,FALSE,"Dried Ground","Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel Dried Ground","Mango Seed Kernel","Seed Kernel","Crop Byproduct/Fruit ByProducts/Mango/Mango Seed Kernel/Mango Seed Kernel Dried Ground","Mangifera indica",FALSE
"16","AOM_000613","soybean ground","Soybean","0","CFM (20)","99999","Crop Product","Base",NA,"Ground",NA,NA,NA,NA,NA,10,"%","day","individual",NA,NA,NA,NA,NA,5,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"17","AOM_006003","unspecified molasses","Molasses","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,17,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"18","AOM_000760","lime","Limestone","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,2,"%","day","individual",NA,NA,NA,NA,NA,18,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"19","AOM_000772","salt","Salt","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,1.5,"%","day","individual",NA,NA,NA,NA,NA,19,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"20","AOM_000794","minerals and vitamins mix","Minerals and Vitamins Premix","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,0.5,"%","day","individual",NA,NA,NA,NA,NA,20,"Minerals and Vitamins Premix","Minerals and Vitamins Premix",FALSE,FALSE,"","","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Mix","Supplement/Mixture/Minerals and Vitamins Mix",NA,FALSE
"21","AOM_001922","water","Water","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified Amount",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"22","AOM_001326","maize ensiled","Corn","0","CFM (20)","99999","Crop Product","Base",NA,NA,NA,"Ensiled",NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side rice staw in the ratio of 4:1; Unspecified Amount",22,"Corn||Ensilation","Corn||Ensilation",FALSE,FALSE,"Ensiled","Ensiled","Maize Ensiled","Maize Ensiled","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ensiled","Zea mays",FALSE
"23","AOM_000579","rice straw","Rice Straw","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side corn silage in the ratio of 1:4; Unspecified Amount",23,"Rice Straw","Rice Straw",FALSE,FALSE,"","","Rice Straw","Rice Straw","Rice Straw","Straw","Crop Byproduct/Cereal ByProducts/Rice/Rice Straw","Oryza sativa",FALSE
"24","AOM_000613","soybean ground","Soybean","0","CFM (20)","99999","Crop Product","Base",NA,"Ground",NA,NA,NA,NA,NA,10,"%","day","individual",NA,NA,NA,NA,NA,5,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"25","AOM_006003","unspecified molasses","Molasses","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,17,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"26","AOM_000760","lime","Limestone","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,2,"%","day","individual",NA,NA,NA,NA,NA,18,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"27","AOM_000772","salt","Salt","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,1.5,"%","day","individual",NA,NA,NA,NA,NA,19,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"28","AOM_000794","minerals and vitamins mix","Minerals and Vitamins Premix","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,0.5,"%","day","individual",NA,NA,NA,NA,NA,20,"Minerals and Vitamins Premix","Minerals and Vitamins Premix",FALSE,FALSE,"","","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Mix","Supplement/Mixture/Minerals and Vitamins Mix",NA,FALSE
"29","AOM_001922","water","Water","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified Amount",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"30","AOM_001326","maize ensiled","Corn","0","CFM (20)","99999","Crop Product","Base",NA,NA,NA,"Ensiled",NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side rice staw in the ratio of 4:1; Unspecified Amount",22,"Corn||Ensilation","Corn||Ensilation",FALSE,FALSE,"Ensiled","Ensiled","Maize Ensiled","Maize Ensiled","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ensiled","Zea mays",FALSE
"31","AOM_000579","rice straw","Rice Straw","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side corn silage in the ratio of 1:4; Unspecified Amount",23,"Rice Straw","Rice Straw",FALSE,FALSE,"","","Rice Straw","Rice Straw","Rice Straw","Straw","Crop Byproduct/Cereal ByProducts/Rice/Rice Straw","Oryza sativa",FALSE
"32","AOM_000613","soybean ground","Soybean","0","CFM (20)","99999","Crop Product","Base",NA,"Ground",NA,NA,NA,NA,NA,10,"%","day","individual",NA,NA,NA,NA,NA,5,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"33","AOM_006003","unspecified molasses","Molasses","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,17,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"34","AOM_000760","lime","Limestone","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,2,"%","day","individual",NA,NA,NA,NA,NA,18,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"35","AOM_000772","salt","Salt","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,1.5,"%","day","individual",NA,NA,NA,NA,NA,19,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"36","AOM_000794","minerals and vitamins mix","Minerals and Vitamins Premix","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,0.5,"%","day","individual",NA,NA,NA,NA,NA,20,"Minerals and Vitamins Premix","Minerals and Vitamins Premix",FALSE,FALSE,"","","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Mix","Supplement/Mixture/Minerals and Vitamins Mix",NA,FALSE
"37","AOM_001922","water","Water","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified Amount",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"38","AOM_001326","maize ensiled","Corn","0","CFM (20)","99999","Crop Product","Base",NA,NA,NA,"Ensiled",NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side rice staw in the ratio of 4:1; Unspecified Amount",22,"Corn||Ensilation","Corn||Ensilation",FALSE,FALSE,"Ensiled","Ensiled","Maize Ensiled","Maize Ensiled","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ensiled","Zea mays",FALSE
"39","AOM_000579","rice straw","Rice Straw","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side corn silage in the ratio of 1:4; Unspecified Amount",23,"Rice Straw","Rice Straw",FALSE,FALSE,"","","Rice Straw","Rice Straw","Rice Straw","Straw","Crop Byproduct/Cereal ByProducts/Rice/Rice Straw","Oryza sativa",FALSE
"40","AOM_000613","soybean ground","Soybean","0","CFM (20)","99999","Crop Product","Base",NA,"Ground",NA,NA,NA,NA,NA,10,"%","day","individual",NA,NA,NA,NA,NA,5,"Soybean||Grinding","Soybean||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Ground","Soybean Ground","Soybean",NA,"Crop Product/Legume Products/Soybean/Soybean Ground","Glycine max",FALSE
"41","AOM_006003","unspecified molasses","Molasses","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,17,"Molasses","Molasses",FALSE,FALSE,"","","Unspecified Molasses","Unspecified Molasses","Unspecified Molasses",NA,"Crop Byproduct/Sugar Processing ByProducts/Unspecified Molasses",NA,FALSE
"42","AOM_000760","lime","Limestone","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,2,"%","day","individual",NA,NA,NA,NA,NA,18,"Limestone","Limestone",FALSE,FALSE,"","","Lime","Lime","Lime",NA,"Supplement/Mineral/Lime",NA,FALSE
"43","AOM_000772","salt","Salt","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,1.5,"%","day","individual",NA,NA,NA,NA,NA,19,"Salt","Salt",FALSE,FALSE,"","","Salt","Salt","Salt",NA,"Other Ingredients/Mineral/Salt",NA,FALSE
"44","AOM_000794","minerals and vitamins mix","Minerals and Vitamins Premix","0","CFM (20)","99999","Supplement","Base",NA,NA,NA,NA,NA,NA,NA,0.5,"%","day","individual",NA,NA,NA,NA,NA,20,"Minerals and Vitamins Premix","Minerals and Vitamins Premix",FALSE,FALSE,"","","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Minerals and Vitamins Mix","Mix","Supplement/Mixture/Minerals and Vitamins Mix",NA,FALSE
"45","AOM_001922","water","Water","0","CFM (20)","99999","Other Ingredients","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual",NA,"Yes",NA,NA,"Unspecified Amount",21,"Water","Water",FALSE,FALSE,"","","Water","Water","Water",NA,"Other Ingredients/Water",NA,FALSE
"46","AOM_001326","maize ensiled","Corn","0","CFM (20)","99999","Crop Product","Base",NA,NA,NA,"Ensiled",NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side rice staw in the ratio of 4:1; Unspecified Amount",22,"Corn||Ensilation","Corn||Ensilation",FALSE,FALSE,"Ensiled","Ensiled","Maize Ensiled","Maize Ensiled","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ensiled","Zea mays",FALSE
"47","AOM_000579","rice straw","Rice Straw","0","CFM (20)","99999","Crop Byproduct","Base",NA,NA,NA,NA,NA,NA,NA,NA,"ad libitum","day","individual","Yes","Yes",NA,NA,"offered add libitum along side corn silage in the ratio of 1:4; Unspecified Amount",23,"Rice Straw","Rice Straw",FALSE,FALSE,"","","Rice Straw","Rice Straw","Rice Straw","Straw","Crop Byproduct/Cereal ByProducts/Rice/Rice Straw","Oryza sativa",FALSE
"48","AOM_001504","polyethylene glycol","Polyethylene glycol","B01063","PEG25","2020","Other Ingredients",NA,"Purchased",NA,NA,NA,NA,NA,NA,2.5,"%","day","individual",NA,NA,NA,NA,NA,2,"Polyethylene glycol","Polyethylene glycol",FALSE,FALSE,"","","Polyethylene glycol","Polyethylene glycol","Polyethylene glycol",NA,"Other Ingredients/Binder/Polyethylene glycol",NA,FALSE
"49","AOM_001504","polyethylene glycol","Polyethylene glycol","B01063","PEG50","2020","Other Ingredients",NA,"Purchased",NA,NA,NA,NA,NA,NA,5,"%","day","individual",NA,NA,NA,NA,NA,3,"Polyethylene glycol","Polyethylene glycol",FALSE,FALSE,"","","Polyethylene glycol","Polyethylene glycol","Polyethylene glycol",NA,"Other Ingredients/Binder/Polyethylene glycol",NA,FALSE
"50","AOM_001504","polyethylene glycol","Polyethylene glycol","B01063","PEG75","2020","Other Ingredients",NA,"Purchased",NA,NA,NA,NA,NA,NA,7.5,"%","day","individual",NA,NA,NA,NA,NA,4,"Polyethylene glycol","Polyethylene glycol",FALSE,FALSE,"","","Polyethylene glycol","Polyethylene glycol","Polyethylene glycol",NA,"Other Ingredients/Binder/Polyethylene glycol",NA,FALSE
"51","AOM_001504","polyethylene glycol","Polyethylene glycol","B01063","PEG100","2020","Other Ingredients",NA,"Purchased",NA,NA,NA,NA,NA,NA,10,"%","day","individual",NA,NA,NA,NA,NA,5,"Polyethylene glycol","Polyethylene glycol",FALSE,FALSE,"","","Polyethylene glycol","Polyethylene glycol","Polyethylene glycol",NA,"Other Ingredients/Binder/Polyethylene glycol",NA,FALSE
"52","AOM_000711","moringa oleifera leaves ground","Moringa oleifera Leaves","B01063","PEG0","2020","Forage Plants",NA,"Purchased","Ground",NA,NA,NA,NA,NA,100,"g/kg","day","individual",NA,NA,NA,NA,"powder",6,"Moringa oleifera Leaves||Grinding","Moringa oleifera Leaves||Grinding",FALSE,FALSE,"Ground","Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves","Leaves","Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves/Moringa oleifera Leaves Ground","Moringa oleifera",TRUE
"53","AOM_000711","moringa oleifera leaves ground","Moringa oleifera Leaves","B01063","PEG25","2020","Forage Plants",NA,"Purchased","Ground",NA,NA,NA,NA,NA,100,"g/kg","day","individual",NA,NA,NA,NA,"powder",7,"Moringa oleifera Leaves||Grinding","Moringa oleifera Leaves||Grinding",FALSE,FALSE,"Ground","Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves","Leaves","Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves/Moringa oleifera Leaves Ground","Moringa oleifera",TRUE
"54","AOM_000711","moringa oleifera leaves ground","Moringa oleifera Leaves","B01063","PEG50","2020","Forage Plants",NA,"Purchased","Ground",NA,NA,NA,NA,NA,100,"g/kg","day","individual",NA,NA,NA,NA,"powder",8,"Moringa oleifera Leaves||Grinding","Moringa oleifera Leaves||Grinding",FALSE,FALSE,"Ground","Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves","Leaves","Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves/Moringa oleifera Leaves Ground","Moringa oleifera",TRUE
"55","AOM_000711","moringa oleifera leaves ground","Moringa oleifera Leaves","B01063","PEG75","2020","Forage Plants",NA,"Purchased","Ground",NA,NA,NA,NA,NA,100,"g/kg","day","individual",NA,NA,NA,NA,"powder",9,"Moringa oleifera Leaves||Grinding","Moringa oleifera Leaves||Grinding",FALSE,FALSE,"Ground","Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves","Leaves","Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves/Moringa oleifera Leaves Ground","Moringa oleifera",TRUE
"56","AOM_000711","moringa oleifera leaves ground","Moringa oleifera Leaves","B01063","PEG100","2020","Forage Plants",NA,"Purchased","Ground",NA,NA,NA,NA,NA,100,"g/kg","day","individual",NA,NA,NA,NA,"powder",10,"Moringa oleifera Leaves||Grinding","Moringa oleifera Leaves||Grinding",FALSE,FALSE,"Ground","Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves Ground","Moringa oleifera Leaves","Leaves","Forage Plants/Forage Trees/Moringa oleifera/Moringa oleifera Leaves/Moringa oleifera Leaves Ground","Moringa oleifera",TRUE
"57","AOM_001674","maize ground","Yellow Maize","B01063","Control Diet","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,698.6,"g/kg","day","individual",NA,NA,NA,NA,NA,11,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"58","AOM_001674","maize ground","Yellow Maize","B01063","PEG0","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,626.9,"g/kg","day","individual",NA,NA,NA,NA,NA,12,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"59","AOM_001674","maize ground","Yellow Maize","B01063","PEG25","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,626.9,"g/kg","day","individual",NA,NA,NA,NA,NA,13,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"60","AOM_001674","maize ground","Yellow Maize","B01063","PEG50","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,626.9,"g/kg","day","individual",NA,NA,NA,NA,NA,14,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"61","AOM_001674","maize ground","Yellow Maize","B01063","PEG75","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,626.9,"g/kg","day","individual",NA,NA,NA,NA,NA,15,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"62","AOM_001674","maize ground","Yellow Maize","B01063","PEG100","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,626.9,"g/kg","day","individual",NA,NA,NA,NA,NA,16,"Yellow Maize||Grinding","Yellow Maize||Grinding",FALSE,FALSE,"Ground","Ground","Maize Ground","Maize Ground","Maize",NA,"Crop Product/Cereal Products/Maize/Maize Ground","Zea mays",FALSE
"63","AOM_002033","soybean full fat ground","Soybean Full Fat","B01063","Control Diet","2020","Crop Product",NA,NA,"Ground",NA,NA,NA,NA,NA,50.7,"g/kg","day","individual",NA,NA,NA,NA,NA,19,"Soybean Full Fat||Grinding","Soybean Full Fat||Grinding",FALSE,FALSE,"Ground","Ground","Soybean Full Fat Ground","Soybean Full Fat Ground","Soybean Full Fat","Full Fat","Crop Product/Legume Products/Soybean/Soybean Full Fat/Soybean Full Fat Ground","Glycine max",FALSE
